submission,TP_1,FP_1,FN_1,TN_1,AUC_1,TP_2,FP_2,FN_2,TN_2,AUC_2,TP_3,FP_3,FN_3,TN_3,AUC_3,TP_4,FP_4,FN_4,TN_4,AUC_4,TP_5,FP_5,FN_5,TN_5,AUC_5
pearrr_original-overall,29,11,29,46,0.6535087719298247,32,10,26,47,0.6881427707199032,37,11,21,46,0.7224742891712039,31,13,27,44,0.6532062915910465,33,12,25,45,0.6792196007259529
pearrr_original-male,21,9,13,23,0.6681985294117647,22,9,12,23,0.6829044117647058,25,9,9,23,0.7270220588235294,22,11,12,21,0.6516544117647058,21,10,13,22,0.6525735294117647
pearrr_original-female,8,2,16,23,0.6266666666666666,10,1,14,24,0.6883333333333334,12,2,12,23,0.7100000000000001,9,2,15,23,0.6475000000000001,12,2,12,23,0.7100000000000001
abethe_original-overall,28,9,30,48,0.662431941923775,33,13,25,44,0.6704476709013915,35,14,23,43,0.6789171203871749,36,17,22,40,0.661222020568663,33,13,25,44,0.6704476709013915
abethe_original-male,19,7,15,25,0.6700367647058824,23,9,11,23,0.6976102941176471,24,9,10,23,0.7123161764705883,27,13,7,19,0.6939338235294117,21,9,13,23,0.6681985294117647
abethe_original-female,9,2,15,23,0.6475000000000001,10,4,14,21,0.6283333333333333,11,5,13,20,0.6291666666666667,9,4,15,21,0.6075,12,4,12,21,0.67
amicie_original-overall,35,16,23,41,0.661373260738052,30,21,28,36,0.5744101633393829,34,18,24,39,0.6352087114337568,32,19,26,38,0.6091954022988506,31,18,27,39,0.6093466424682394
amicie_original-male,22,12,12,20,0.6360294117647058,21,15,13,17,0.5744485294117647,23,14,11,18,0.6194852941176471,18,16,16,16,0.5147058823529411,20,14,14,18,0.5753676470588236
amicie_original-female,13,4,11,21,0.6908333333333333,9,6,15,19,0.5675,11,4,13,21,0.6491666666666666,14,3,10,22,0.7316666666666668,11,4,13,21,0.6491666666666666
ayoub_ghriss_original-overall,39,13,19,44,0.7221718088324259,30,11,28,46,0.662129461584997,39,11,19,46,0.7397156684815488,36,12,22,45,0.70508166969147,37,14,21,43,0.6961584996975196
ayoub_ghriss_original-male,23,11,11,21,0.666360294117647,20,10,14,22,0.6378676470588236,25,8,9,24,0.7426470588235294,23,11,11,21,0.666360294117647,22,12,12,20,0.6360294117647058
ayoub_ghriss_original-female,16,2,8,23,0.7933333333333332,10,1,14,24,0.6883333333333334,14,3,10,22,0.7316666666666668,13,1,11,24,0.7508333333333332,15,2,9,23,0.7725000000000001
lbg_original-overall,36,11,22,46,0.7138535995160314,38,10,20,47,0.7398669086509377,41,14,17,43,0.7306412583182093,41,13,17,44,0.7394131881427707,36,13,22,44,0.6963097398669086
lbg_original-male,24,8,10,24,0.7279411764705883,22,9,12,23,0.6829044117647058,26,11,8,21,0.7104779411764706,27,11,7,21,0.7251838235294117,24,10,10,22,0.6966911764705883
lbg_original-female,12,3,12,22,0.6900000000000001,16,1,8,24,0.8133333333333332,15,3,9,22,0.7525,14,2,10,23,0.7516666666666667,12,3,12,22,0.6900000000000001
mk_original-overall,28,9,30,48,0.662431941923775,31,12,27,45,0.6619782214156079,32,17,26,40,0.6267392619479734,34,17,24,40,0.6439806412583182,33,14,25,43,0.66167574107683
mk_original-male,17,6,17,26,0.65625,20,8,14,24,0.6691176470588236,19,11,15,21,0.6075367647058824,23,11,11,21,0.666360294117647,22,10,12,22,0.6672794117647058
mk_original-female,11,3,13,22,0.6691666666666666,11,4,13,21,0.6491666666666666,13,6,11,19,0.6508333333333333,11,6,13,19,0.6091666666666666,11,4,13,21,0.6491666666666666
nguigui_original-overall,32,15,26,42,0.6442831215970963,34,16,24,41,0.6527525710828797,36,15,22,42,0.6787658802177858,31,18,27,39,0.6093466424682394,35,17,23,40,0.6526013309134906
nguigui_original-male,19,11,15,21,0.6075367647058824,21,13,13,19,0.6056985294117647,22,11,12,21,0.6516544117647058,18,14,16,18,0.5459558823529411,18,14,16,18,0.5459558823529411
nguigui_original-female,13,4,11,21,0.6908333333333333,13,3,11,22,0.7108333333333332,14,4,10,21,0.7116666666666667,13,4,11,21,0.6908333333333333,17,3,7,22,0.7941666666666667
Slasnista_original-overall,33,12,25,45,0.6792196007259529,34,12,24,45,0.6878402903811253,37,13,21,44,0.7049304295220811,37,13,21,44,0.7049304295220811,37,13,21,44,0.7049304295220811
Slasnista_original-male,21,10,13,22,0.6525735294117647,22,10,12,22,0.6672794117647058,24,10,10,22,0.6966911764705883,24,12,10,20,0.6654411764705883,22,10,12,22,0.6672794117647058
